"Opportunity Owner","Account Name","Opportunity Name","Stage","Close Date","Created Date","Business Portfolio","Opportunity Type","Type","Business Type","Etimad Type","Opportunity Number","Total Contract Value (TCV)","Customer Submission Date"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Office automation \ manpower project 1613","7-Handover Completed","01/02/2026","18/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1411","970000","25/12/2025"
"Ziyad Aldriwish","Ministry of Industry And Mineral Resources","Activate the Partner Communication Center Channels","6-Lost","15/06/2026","18/12/2025","Sales & BD 1","RFP","Sell Direct","CLM","Etimad","SF-2025-1412","13753556","20/01/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","AI&DS \ 1183 \ 2026","7-Handover Completed","21/06/2026","21/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1413","80305","05/02/2026"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","GCT - STCS - CLM - 2026","7-Handover Completed","28/04/2026","21/12/2025","STC & Sub","RFQ","Sell Through solutions","CLM","Non Etimad","SF-2025-1415","3032646","24/12/2025"
"Raed Hammad","iotsquered","Senior Director - Automated MRO Transformation Project","6-Cancelled","19/08/2026","21/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1417","1531105","25/12/2025"
"Mohammed Rashed","Ministry of Human Resources & Social Development HRSD","TEMP resources hiring for 3 months","7-Handover Completed","01/01/2026","21/12/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1418","939082","28/12/2025"
"Mohammad Alajlan","Solutions by stc","STCSQR-22576 \ 1355","4-Submitted - Under Evaluation","30/09/2026","22/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1419","186603","29/12/2025"
"Bayan AlOlayan","Alhasa Municipality","OP-2025-159834","6-Lost","02/02/2026","22/12/2025","Sales & BD 2","RFP","Sell Through solutions","MPO","Non Etimad","SF-2025-1420","47539900","30/12/2025"
"Fajer Alsalloum","Digital Government Authority","Change Request","6-Dropped","08/02/2026","23/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1421","24102","30/12/2025"
"Fajer Alsalloum","Royal Comission of Al Ula","Network Engineers","6-Cancelled","02/07/2026","23/12/2025","Giga","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1422","720334","31/12/2025"
"Ali Bin Zeair","Solutions by stc","EV Chargers","6-Cancelled","29/04/2026","23/12/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1423","84873","30/12/2025"
"Mohammad Alajlan","Solutions by stc","Analyst - Solution Manpower 1510","4-Submitted - Under Evaluation","30/09/2026","24/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1426","273061","11/05/2026"
"Abdulrhman Alshwaier","Solutions by stc","IT Specialist -Solution Manpower-1222","6-Cancelled","30/06/2026","24/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1428","442716","29/12/2025"
"Osayed Shadid","Al Yamamah Medical Company","Call Center Services","6-Dropped","08/02/2026","24/12/2025","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2025-1429","1000000","06/01/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-21223 - Car 1","4-Submitted - Under Evaluation","24/12/2026","24/12/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1430","872845","30/12/2025"
"Mohammad Alajlan","Solutions by stc","Renewal Project","7-Handover Completed","06/04/2026","25/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1432","839695","30/01/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Growth and Configuration projects  \ project 1408","7-Handover Completed","12/01/2026","25/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1433","11329073","31/12/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Growth and Configuration projects \ project 1408 -2","7-Handover Completed","03/02/2026","25/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1434","9851037","30/12/2025"
"Fajer Alsalloum","Riyadh Expo 2030 Company","EXPO at PNU","6-Cancelled","01/03/2026","27/12/2025","Giga","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1435","87230285","27/12/2025"
"Mohammad Alajlan","Solutions by stc","| Project 1543 renewal","4-Submitted - Under Evaluation","30/09/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1436","460648","27/03/2026"
"Mohammad Alajlan","Solutions by stc","Operations Manager-Solution Manpower","7-Handover Completed","17/09/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1437","505599","24/05/2026"
"Mohammad Alajlan","Solutions by stc","Specialist-Solution Manpower","7-Handover Completed","13/05/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1438","272325","30/04/2026"
"Raed Hammad","TAWAL","ERP ID 13376","1-Identified","30/12/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1439","84795","10/04/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Renewal for - OP","7-Handover Completed","07/05/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1440","3782548","10/04/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","MASA Batch 6 - 2026","7-Handover Completed","22/06/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1441","3559151","09/04/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","Office Automation V2 1606","7-Handover Completed","12/07/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1442","980196","09/06/2026"
"Abdulrhman Alshwaier","Saudi Telecommunications Company-STC Group-EBU","ITP CAM - EBU BAU Projection 2025 - CAM Apps","7-Handover Completed","24/06/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1443","2732728","09/04/2026"
"Mohammad Alajlan","Solutions by stc","Project Control & Planning - Solutions Manpower 1377","7-Handover Completed","17/06/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1444","432334","29/04/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Solutions Architect - solutions Manpower","7-Handover Completed","07/05/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1445","752315","05/05/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Hiring Request | customer: stc","7-Handover Completed","24/08/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1446","492500","30/03/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","STCS-MPO-STCSQR-20119-Solutions","7-Handover Completed","28/06/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1447","615582","14/04/2026"
"Mohammad Alajlan","Devoteam Company Saudi Limited","Audit services - 2026","1-Identified","30/09/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1448","314370","16/06/2026"
"Mohammad Alajlan","Solutions by stc","Chief Network Engineer - solutions Manpower","7-Handover Completed","05/08/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1449","493718","20/05/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Digital Solutions Demand Management","7-Handover Completed","12/08/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1450","325019","14/05/2026"
"Mohammad Alajlan","Solutions by stc","PR -Solution Manpower-1252","6-Cancelled","15/06/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1451","709660","19/04/2026"
"Mohammad Alajlan","Saudi Telecommunications Company-STC Group-EBU","Technical Lead - Solution Manpower 1209","7-Handover Completed","24/06/2026","27/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1452","474373","30/04/2026"
"Mohammad Alajlan","Solutions by stc","Engineer-Solution Manpower","7-Handover Completed","29/06/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1453","269239","29/04/2026"
"Raed Hammad","specialized by stc","OP-2024-150038  Specialized - 2026","7-Handover Completed","24/08/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1454","19709239","15/02/2026"
"Raed Hammad","Devoteam Company Saudi Limited","2 manpower - 2026","6-Cancelled","19/08/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1455","747942","30/06/2025"
"Raed Hammad","Devoteam Company Saudi Limited","IT Project Manager - 2026","6-Cancelled","19/08/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1456","713857","30/06/2025"
"Mohammad Alajlan","channels by stc","Jawwy Project 2026","6-Cancelled","21/04/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1457","2994077","21/04/2026"
"Mohammad Alajlan","channels by stc","HR Project 2026","6-Cancelled","21/04/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1458","9989826","21/04/2026"
"Raed Hammad","Devoteam Company Saudi Limited","BPM Consultant Contracting - 2026","6-Cancelled","19/08/2026","27/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1459","513969","24/07/2026"
"Mohammad Alajlan","Solutions by stc","Renewal project code 1542","7-Handover Completed","09/04/2026","28/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1460","348050","31/12/2025"
"Raed Hammad","sirar by stc","SIRAR EVENT Calendar","6-Cancelled","19/08/2026","28/12/2025","STC & Sub","RFQ","Sell Direct","Event Management","Non Etimad","SF-2025-1461","100000","31/01/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-22591 - Renewal project 1485","4-Submitted - Under Evaluation","30/09/2026","28/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1462","300000","31/12/2025"
"Khalid AlEnezi","Bahah University","Operation and Maintenance of Digital Education and IT Services, and Support for Digital Transformation Solutions","6-Dropped","20/08/2026","28/12/2025","Sales & BD 2","RFP","Sell Direct","MPO","Non Etimad","SF-2025-1463","50000000","03/01/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-22682 - Renewal","7-Handover Completed","14/05/2026","29/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1464","291398","06/01/2026"
"Rawan AlMusayid","Ministry of Energy","Unified Contact Center Operation and Development Project","6-Dropped","22/01/2026","29/12/2025","Sales & BD 1","RFI","Sell Direct","CLM","Non Etimad","SF-2025-1465","0","05/01/2026"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","Renewal project 1633 \ Footprint Technology Systems MPA","7-Handover Completed","01/01/2026","29/12/2025","STC & Sub","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1467","2992498","23/12/2025"
"Rawan AlMusayid","Shared Services Program","SSP Work order","7-Handover Completed","21/05/2026","29/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1470","1403769","31/12/2025"
"Ali Bin Zeair","Saudi Telecommunications Company-STC Group-EBU","CBU - 2","1-Identified","15/12/2026","30/12/2025","STC & Sub","RFQ","Sell Direct","Facility Management","Non Etimad","SF-2025-1472","20000000","28/01/2026"
"Ali Bin Zeair","Solutions by stc","Partnership & VAP Management 2026","7-Handover Completed","12/02/2026","30/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1473","12322369","09/02/2026"
"Ali Bin Zeair","Solutions by stc","STCSQR-22947","7-Handover Completed","02/02/2026","30/12/2025","STC & Sub","RFQ","Sell Direct","SCM","Non Etimad","SF-2025-1474","4031437","27/01/2026"
"Raed Hammad","Devoteam Company Saudi Limited","Request for DevOps candidates","6-Cancelled","19/08/2026","31/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1475","1671766","15/01/2026"
"Raed Hammad","Devoteam Company Saudi Limited","Process Mining & Business Process Consultant Job Role - STC TEC BPT","6-Cancelled","19/08/2026","31/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1476","376832","20/01/2026"
"Mohammad Alajlan","Solutions by stc","Renewal Project","7-Handover Completed","10/05/2026","31/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1477","383026","07/01/2026"
"Sultan Alzahrani","Saudi Telecommunications Company-STC Group-EBU","CBU Mobility Retention Project 2026","7-Handover Completed","13/04/2026","31/12/2025","STC & Sub","RFP","Sell Direct","CLM","Non Etimad","SF-2025-1478","33000000","04/03/2026"
"Rawan AlMusayid","Small and Medium Enterprises Bank","STCS-MPO-STCSQR 18620-SME Bank","4-Submitted - Under Evaluation","30/09/2026","31/12/2025","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1479","337383","06/01/2026"
"Mohammad Alajlan","Solutions by stc","Renewal Engineer-Solutions Manpower 1338","7-Handover Completed","11/03/2026","31/12/2025","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2025-1480","635263","06/01/2026"
"Bayan AlOlayan","Riyadh infostructure project center","RIPC Resources","6-Lost","02/02/2026","31/12/2025","Sales & BD 2","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2025-1481","14333333","04/01/2026"
"Abdullah Alfawaz","Ministry of Culture","Consolidation of Ministry of Culture Projects","4-Submitted - Under Evaluation","30/12/2026","01/01/2026","Sales & BD 2","RFI","Sell Direct","MPO","Non Etimad","SF-2026-1482","32748893","02/03/2026"
"Khalid AlEnezi","Ministry of Defense ? Executive Affairs","MOD - Unified Secure Network Project (Arkan Project)","6-Cancelled","03/02/2026","01/01/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Etimad","SF-2026-1483","19514675","15/01/2026"
"Khalid AlEnezi","Presidency of State Security.","NE Resource STCSQR-22580","6-Dropped","26/04/2026","04/01/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-1485","700000","08/01/2026"
"Ziyad Aldriwish","Saudi Airlines","Call center agent outsourcing","6-Lost","15/06/2026","04/01/2026","Sales & BD 1","RFP","Sell Direct","CLM","Non Etimad","SF-2026-1486","182401350","19/02/2026"
"Ali Bin Zeair","Solutions by stc","Renewal project 1389","7-Handover Completed","03/02/2026","04/01/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-1487","178042","08/01/2026"
"Raed Hammad","Aqalat limited Company","Dammam Square","6-Cancelled","19/08/2026","04/01/2026","STC & Sub","RFI","Sell Direct","SCM","Non Etimad","SF-2026-1488","500000","31/01/2026"
"Raed Hammad","STC Bank","warehousing","6-Cancelled","19/08/2026","04/01/2026","STC & Sub","RFI","Sell Direct","SCM","Non Etimad","SF-2026-1489","200000","28/02/2026"
"Raed Hammad","Center3","Center 3 bonus","7-Handover Completed","16/06/2026","04/01/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-1491","92034","14/04/2026"
"Raed Hammad","channels by stc","Channels IT","6-Cancelled","05/02/2026","04/01/2026","STC & Sub","RFI","Sell Direct","MPO","Non Etimad","SF-2026-1492","57000000","31/01/2026"
"Rawan AlMusayid","Umm Al-Qura for Dev. and Construction Co","Customer Service Agents","6-Cancelled","05/04/2026","04/01/2026","Giga","RFP","Sell Direct","CLM","Non Etimad","SF-2026-1493","2388098","15/01/2026"
"Bayan AlOlayan","Kidana Development Company","Permanent Call Center Project","1-Identified","23/11/2026","05/01/2026","Sales & BD 2","RFI","Sell Direct","CLM","Non Etimad","SF-2026-1494","0","18/08/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-22731 - Renewal project","7-Handover Completed","13/05/2026","05/01/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-1495","2978712","13/01/2026"
"Majid Al-Faifi","MOI - Department of Telecommunications & Wireless","Prisons Call Management","6-Dropped","04/05/2026","05/01/2026","Sales & BD 2","RFI","Sell Direct","CLM","Non Etimad","SF-2026-1496","50000000","03/05/2026"
"Rawan AlMusayid","National Water Company","NWC - Ref#160343","6-Dropped","26/01/2026","06/01/2026","Sales & BD 1","RFQ","Sell Through solutions","MPO","Non Etimad","SF-2026-1498","250000","15/01/2026"
"Mohammad Alajlan","Solutions by stc","STCSQR-22629 \ project code 1145","4-Submitted - Under Evaluation","30/09/2026","07/01/2026","STC & Sub","RFQ","Sell Direct","MPO","Non Etimad","SF-2026-1499","139918","13/01/2026"
"Rawan AlMusayid","Hyperpay Company","Contact Center","6-Dropped","20/04/2026","07/01/2026","Sales & BD 1","RFQ","Sell Direct","CLM","Non Etimad","SF-2026-1501","1732965","25/01/2026"
"Fajer Alsalloum","King Salman Park Foundation","Land Acquisition CLM","6-Cancelled","09/09/2026","08/01/2026","Giga","RFP","Sell Direct","CLM","Non Etimad","SF-2026-1502","1201347","31/07/2026"
"Fajer Alsalloum","Sports Boulevard Foundation","SBF Contact Center","6-Lost","09/09/2026","08/01/2026","Giga","RFP","Sell Direct","CLM","Non Etimad","SF-2026-1503","1559966","31/08/2026"
